rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
27,"spotify:track:0IKeDy5bT9G0bA7ZixRT4A","Fuerza Regida, Grupo Frontera","Bebe Dame","Rancho Humilde/Street Mob Records",18,26,8,"4207309"
28,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",28,30,6,"4137634"
29,"spotify:track:4sx6NRwL6Ol3V6m9exwGlQ","The Kid LAROI","LOVE AGAIN","Columbia",13,16,3,"4116905"
30,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",30,-1,1,"4036913"
31,"spotify:track:4686eQ81DEswHa90bcdlC9","Bailey Zimmerman","Rock and A Hard Place","Warner Music Nashville/Elektra",26,32,36,"3959139"
32,"spotify:track:1zv3WFUbZ5vPxFq9I2jAU1","Rihanna, Calvin Harris","We Found Love","Def Jam Recordings",32,-1,1,"3925009"
33,"spotify:track:5uU1uuyaUIBOiiUSQG7Wl3","Morgan Wallen","You Proof","Big Loud / Mercury Records / Republic Records",11,34,40,"3893572"
34,"spotify:track:5oO3drDxtziYU2H1X23ZIp","Rihanna","Love On The Brain","Roc Nation / Rihanna",34,-1,35,"3870474"
35,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",2,31,35,"3866194"
36,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",8,36,25,"3700184"
37,"spotify:track:5jQI2r1RdgtuT8S3iG8zFC","Taylor Swift","Lavender Haze","Taylor Swift",2,29,17,"3685721"
38,"spotify:track:3cBsEDNhFI9E82vPj3kvi3","Morgan Wallen","Wasted On You","Big Loud / Republic",3,42,108,"3679998"
39,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",26,28,24,"3679146"
40,"spotify:track:2wSTnntOPRi7aQneobFtU4","SZA","Shirt","Top Dawg Entertainment/RCA Records",8,37,16,"3673128"
41,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",13,40,130,"3653090"
42,"spotify:track:4pAl7FkDMNBsjykPXo91B3","Rihanna","Needed Me","Roc Nation / Rihanna",42,-1,25,"3629117"
43,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",3,39,41,"3607269"
44,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",7,44,37,"3603473"
45,"spotify:track:3cJjqvXbFwiWgnuWgoyhPM","Steve Lacy","Dark Red","Three Quarter",16,57,80,"3581661"
46,"spotify:track:42TtHTxWk782ZBiqyOi2d1","Zach Bryan, Maggie Rogers","Dawns (feat. Maggie Rogers)","Warner Records",17,24,3,"3496729"
47,"spotify:track:0NTMtAO2BV4tnGvw9EgBVq","Rihanna","Bitch Better Have My Money","Roc Nation / Rihanna",47,-1,1,"3475724"
48,"spotify:track:1lRtH4FszTrwwlK5gTSbXO","Natanael Cano, Peso Pluma, Gabito Ballesteros","AMG","WEA Latina",48,65,5,"3459809"
49,"spotify:track:76FeKAU0A4dpFGrVSg2TX2","Morgan Wallen","I Wrote The Book","Big Loud Records / Mercury Records / Republic Records",27,27,3,"3426222"
50,"spotify:track:1z9kQ14XBSN0r2v6fx4IdG","Rihanna","Diamonds","Def Jam Recordings",50,-1,1,"3425478"
51,"spotify:track:7EAMXbLcL0qXmciM5SwMh2","Mac DeMarco","Heart To Heart","Mac’s Record Label",30,46,9,"3405245"
52,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",10,41,29,"3388576"
53,"spotify:track:3hxIUxnT27p5WcmjGUXNwx","Hotel Ugly","Shut up My Moms Calling","Hotel Ugly, under exclusive license to Amuseio AB",29,33,24,"3331223"
54,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",33,53,14,"3313230"
55,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",2,47,41,"3295741"
56,"spotify:track:2mpoNBkngUEwnaKoBhZ0vl","Peso Pluma, Natanael Cano","PRC","Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT",56,66,3,"3288869"
57,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",3,38,10,"3277610"
58,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",3,49,42,"3275751"
59,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",59,-1,1,"3270892"
60,"spotify:track:6Um358vY92UBv5DloTRX9L","Carin Leon, Grupo Frontera","Que Vuelvas","BorderKid Records/Sony Music Latin",28,51,7,"3260949"
61,"spotify:track:48UKTR66uUOT9LaUvooTNx","Luke Combs","The Kind of Love We Make","River House Artists/Columbia Nashville",15,50,35,"3242188"
62,"spotify:track:3QFInJAm9eyaho5vBzxInN","Baby Keem, Kendrick Lamar","family ties (with Kendrick Lamar)","Columbia",8,58,77,"3196781"
63,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",47,63,22,"3183358"
64,"spotify:track:789CxjEOtO76BVD1A9yJQH","Rihanna, Mikky Ekko","Stay","Def Jam Recordings",64,-1,1,"3181933"
65,"spotify:track:7LR85XLWw2yXqKBSI5brbG","JAY-Z, Rihanna, Kanye West","Run This Town","Roc Nation / Jay-Z",65,-1,1,"3160742"
66,"spotify:track:0yUaLqhsVsguBpoOPL4cO7","Ice Spice","In Ha Mood","10K Projects/Capitol Records",66,97,4,"3159641"
67,"spotify:track:5gDWsRxpJ2lZAffh5p7K0w","The Weeknd, Lana Del Rey","Stargirl Interlude","Universal Republic Records",56,56,33,"3152596"
68,"spotify:track:6pcywuOeGGWeOQzdUyti6k","21 Savage, Metro Boomin","Glock In My Lap","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",8,73,19,"3085487"
69,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",3,60,37,"3056232"
70,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",18,72,10,"2998548"
71,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",15,52,6,"2996615"
72,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",52,68,113,"2978945"
73,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",18,61,109,"2977112"
74,"spotify:track:5BbdKBZO0TH0GhfxUfyhL9","Lil Baby","Freestyle","Quality Control Music (Caroline)",55,55,35,"2975524"
75,"spotify:track:2L9N0zZnd37dwF0clgxMGI","Lizzy McAlpine","ceilings","Harbour Artists & Music",75,95,4,"2973668"
76,"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Kanye West","Heartless","Roc-A-Fella",40,78,72,"2966080"
77,"spotify:track:6NHpyYvJyQsg2nXXzGYc2R","Morgan Wallen","Thought You Should Know","Big Loud Records / Republic Records",18,64,41,"2938785"
78,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",34,45,8,"2927841"
79,"spotify:track:3NanY0K4okhIQzL33U5Ad8","PinkPantheress","Boy's a Liar","Warner Records",48,48,11,"2884905"
80,"spotify:track:6sCvvleqKbeyOkQDieBYgp","Rihanna","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Roc Nation/Def Jam/Hollywood",17,-1,6,"2860063"
81,"spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn","Rihanna","Don't Stop The Music","Def Jam Recordings",81,-1,1,"2843353"
82,"spotify:track:62L9AbfPmUm8gV578rxC51","Morgan Wallen","Everything I Love","Big Loud Records / Mercury Records / Republic Records",35,35,3,"2780970"
83,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",2,62,39,"2778202"
84,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",3,83,107,"2776869"
85,"spotify:track:4tqcoej1zPvwePZCzuAjJd","J. Cole","Wet Dreamz","Roc Nation Records LLC",69,77,70,"2772356"
86,"spotify:track:4PMqSO5qyjpvzhlLI5GnID","SZA","Good Days","Top Dawg Entertainment/RCA Records",1,75,95,"2759227"
87,"spotify:track:6IyoLWzljeR3ldQo4KWHT6","Yeat","Out thë way","Field Trip Recordings/Geffen Records",47,74,11,"2756301"
88,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",48,67,26,"2730118"
89,"spotify:track:1uN0f4NqMDcReSwXO6PLuG","Rihanna","Where Have You Been","Def Jam Recordings",89,-1,1,"2721856"
90,"spotify:track:7H0ya83CMmgFcOhw0UB6ow","Beach House","Space Song","Sub Pop Records",47,69,83,"2703328"
91,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",43,59,11,"2702876"
92,"spotify:track:2CSRrnOEELmhpq8iaAi9cd","SZA","Blind","Top Dawg Entertainment/RCA Records",5,70,10,"2694215"
93,"spotify:track:0FA4wrjDJvJTTU8AepZTup","Lil Uzi Vert, sped up nightcore, ARIZONATEARS","Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore",93,-1,1,"2691242"
94,"spotify:track:6KGtAlYvgm4W9PoYabFAYE","Morgan Wallen","One Thing At A Time","Big Loud Records / Mercury Records / Republic Records",31,71,11,"2681379"
95,"spotify:track:4h5x3XHLVYFJaItKuO2rhy","SZA, Phoebe Bridgers","Ghost in the Machine (feat. Phoebe Bridgers)","Top Dawg Entertainment/RCA Records",17,103,10,"2673641"
96,"spotify:track:0rc1HCVoReqzzXF9jssqZk","Lizzo, SZA","Special (feat. SZA)","Atlantic Records",96,-1,1,"2667104"
97,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,81,116,"2658258"
98,"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Frank Ocean","Pink + White","Boys Don't Cry",76,76,27,"2638789"
99,"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Foo Fighters","Everlong","RCA Records Label",60,82,28,"2637894"
100,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",27,84,17,"2603313"
101,"spotify:track:2Hh3ETdQKrmSI3QS0hme7g","Metro Boomin, Future, Don Toliver","Too Many Nights (feat. Don Toliver & with Future)","Republic Records",10,80,11,"2600189"
102,"spotify:track:6HMtHNpW6YPi1hrw9tgF8P","Lizzo","About Damn Time","Nice Life/Atlantic",6,89,41,"2597008"
103,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",62,79,23,"2590421"
104,"spotify:track:7ySUcLPVX7KudhnmNcgY2D","Rihanna","S&M","Def Jam Recordings",104,-1,1,"2587896"
105,"spotify:track:3XgGQ1wjo5khvq2UImjyNF","Brent Faiyaz","ALL MINE","Lost Kids LLC., Marketed by Venice / Stem",22,94,28,"2556261"
106,"spotify:track:4vVjPTApwXZwB2H3mBq3ml","Quavo, Takeoff","HOTEL LOBBY (Unc & Phew)","Quality Control Music/Motown Records",61,92,32,"2550898"
107,"spotify:track:72TFWvU3wUYdUuxejTTIzt","Rihanna, Drake","Work","Roc Nation / Rihanna",57,-1,13,"2546091"
108,"spotify:track:5r67bGhYXZNqk2m2Wupfmu","Rihanna","Pour It Up","Def Jam Recordings",108,-1,1,"2542278"
109,"spotify:track:4WuOWVnAqvEQxgSRrspBgt","Metro Boomin, Travis Scott, 21 Savage","Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Republic Records",7,96,11,"2539866"
110,"spotify:track:3fqwjXwUGN6vbzIwvyFMhx","Chris Stapleton","Tennessee Whiskey","Mercury Nashville",98,142,94,"2517150"
111,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",10,90,41,"2510316"
112,"spotify:track:3RKjTYlQrtLXCq5ncswBPp","Baby Tate","Hey, Mickey!","Yung Baby Tate",39,87,4,"2489839"
113,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,93,84,"2477399"
114,"spotify:track:6dBUzqjtbnIa1TwYbyw5CM","TV Girl","Lovers Rock","TV Girl",101,101,13,"2463137"
115,"spotify:track:4VXIryQMWpIdGgYR4TrjT1","Juice WRLD","All Girls Are The Same","Juice WRLD Mixtape / ISR P&D",13,115,249,"2420871"
116,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",28,102,85,"2419770"
117,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",25,88,68,"2403881"
118,"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Lil Baby, Gunna","Drip Too Hard (Lil Baby & Gunna)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,105,221,"2393793"
119,"spotify:track:23Lyy7ZXRvzfgH4JtDkKrX","Grupo Frontera","No Se Va - EN VIVO","Grupo Frontera",49,111,20,"2387408"
120,"spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","Cigarettes After Sex","Apocalypse","Partisan Records",49,100,32,"2376269"
121,"spotify:track:7fBv7CLKzipRk6EC6TWHOB","The Weeknd","The Hills","Universal Republic Records",27,106,104,"2374875"
122,"spotify:track:3sNVsP50132BTNlImLx70i","Kanye West","Bound 2","Rock The World/IDJ/Kanye/LP6",20,122,60,"2353455"
123,"spotify:track:4FAKtPVycI4DxoOHC01YqD","Yandel, Feid","Yandel 150","La Leyenda LLC",120,120,3,"2349635"
124,"spotify:track:30VrBsh1STRBoIrhQOAwzK","Rihanna","Disturbia","Def Jam Recordings",83,-1,3,"2345106"
125,"spotify:track:180tYOjVoVnuDFZdTzgQRe","Rihanna","Rude Boy","Def Jam Recordings",125,-1,1,"2337320"
126,"spotify:track:4ewazQLXFTDC8XvCbhvtXs","Joji","Glimpse of Us","88rising Music/Warner Records",1,98,36,"2329370"
127,"spotify:track:54ELExv56KCAB4UP9cOCzC","Ñengo Flow, Bad Bunny","Gato de Noche","Rimas Entertainment LLC",38,99,8,"2317735"
128,"spotify:track:5TRPicyLGbAF2LGBFbHGvO","Kanye West, Dwele","Flashing Lights","Roc-A-Fella",53,129,57,"2315205"
129,"spotify:track:6foY66mWZN0pSRjZ408c00","Morgan Wallen","Whiskey Glasses","Big Loud Records",43,108,195,"2313834"
130,"spotify:track:577YBGuskWkVDCxZrLRB4v","Lil Baby","Pure Cocaine","Quality Control Music/Motown Records/Capitol Records",52,114,43,"2290899"
131,"spotify:track:6vN77lE9LK6HP2DewaN6HZ","Lil Baby, Drake","Yes Indeed","Quality Control Music, LLC",2,117,145,"2283349"
132,"spotify:track:5BmB3OaQyYXCqRyN8iR2Yi","NLE Choppa","SLUT ME OUT","Warner Records",132,199,2,"2275494"
133,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",52,123,29,"2273713"
134,"spotify:track:3pXF1nA74528Edde4of9CC","Bryson Tiller","Don't","TrapSoul/RCA Records",82,119,78,"2272295"
135,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",7,107,41,"2267525"
136,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",22,110,27,"2266103"
137,"spotify:track:6BQrmjAgPfPTwILoFEK3Hd","Kali Uchis","I Wish you Roses","Geffen Records",37,91,4,"2250809"
138,"spotify:track:7FAFkQQZFeNwOFzTrSDFIh","Mac Miller, Empire Of The Sun","The Spins","Rostrum Records",61,194,93,"2250746"
139,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",8,104,35,"2247652"
140,"spotify:track:0B7wvvmu9EISAwZnOpjhNI","Bruno Mars","When I Was Your Man","Atlantic Records",111,112,12,"2231150"
141,"spotify:track:6PGoSes0D9eUDeeAafB2As","Kendrick Lamar, Zacari","LOVE. FEAT. ZACARI.","Aftermath",5,132,122,"2230489"
142,"spotify:track:5MwynWK9s4hlyKHqhkNn4A","Morgan Wallen","Chasin' You","Big Loud Records",55,130,103,"2214557"
143,"spotify:track:2Dct3GykKZ58hpWRFfe2Qd","Zach Bryan","Heading South","Warner Records",70,139,14,"2207539"
144,"spotify:track:4AFsRbaLKRWo3dDtjDFA2V","Childish Gambino","Me and Your Mama","Glassnote Entertainment Group LLC",49,118,44,"2203621"
145,"spotify:track:5ht9obvnnWeW4eoRtPAoQD","Ghostluvme, Lil Uzi Vert","Fact (feat. Lil Uzi Vert)","High & Mighty Entertainment",145,-1,1,"2201378"
146,"spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk","KAROL G, Romeo Santos","X SI VOLVEMOS","Universal Music Latino",54,54,2,"2199577"
147,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,145,164,"2186800"
148,"spotify:track:6TBzRwnX2oYd8aOrOuyK1p","Oscar Maydon, Junior H","Fin de Semana","Rancho Humilde",85,85,5,"2176064"
149,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",30,144,40,"2172517"
150,"spotify:track:6Ox1rvlwEpB49drasQm6RF","Lil Peep","Star Shopping","Death Note Music, LLC",100,127,67,"2169464"
151,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,138,222,"2167821"
152,"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","Kendrick Lamar","HUMBLE.","Aftermath",1,158,165,"2159492"
153,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",105,121,7,"2158952"
154,"spotify:track:3iBgrkexCzVuPy4O9vx7Mf","beabadoobee","Glue Song","Dirty Hit",154,-1,1,"2145273"
155,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Taylor Swift","Midnight Rain","Taylor Swift",3,109,17,"2137627"
156,"spotify:track:2ZL7WZcjuYKi1KUDtp4kCC","Drake, 21 Savage","Spin Bout U","OVO / Republic Records",6,134,15,"2134958"
157,"spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)","OVO",2,133,74,"2134605"
158,"spotify:track:0uxSUdBrJy9Un0EYoBowng","Lil Uzi Vert","20 Min","Generation Now/Atlantic",48,154,155,"2126709"
159,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",2,152,64,"2125883"
160,"spotify:track:2KLwPaRDOB87XOYAT2fgxh","Drake, 21 Savage, Travis Scott","Pussy & Millions (feat. Travis Scott)","OVO / Republic Records",3,131,15,"2122690"
161,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",60,155,129,"2121503"
162,"spotify:track:5NRtdsFFlmyE8qDMgS08PE","Paramore","Running Out Of Time","Atlantic Records",162,-1,1,"2114635"
163,"spotify:track:5fEB6ZmVkg63GZg9qO86jh","PARTYNEXTDOOR","Break from Toronto","OVO Sound",110,116,6,"2111829"
164,"spotify:track:7sO5G9EABYOXQKNPNiE9NR","Offset, Metro Boomin","Ric Flair Drip (with Metro Boomin)","Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,159,166,"2107291"
165,"spotify:track:4Li2WHPkuyCdtmokzW2007","JAY-Z, Kanye West","Ni**as In Paris","Roc Nation/RocAFella/IDJ",107,165,55,"2098498"
166,"spotify:track:1qMMYpVatbRITKCfq1gasi","Future","PUFFIN ON ZOOTIEZ","Epic/Freebandz",4,151,39,"2091186"
167,"spotify:track:285pBltuF7vW8TeWk8hdRR","Juice WRLD","Lucid Dreams","Juice WRLD Mixtape / ISR P&D",1,163,246,"2083399"
168,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",9,156,68,"2078988"
169,"spotify:track:2J6OF7CkpdQGSfm1wdclqn","Brent Faiyaz","Clouded","Lost Kids",65,128,20,"2077946"
170,"spotify:track:6HBRLaSQ7NB8MNlaqzYen1","Jordan Davis","What My World Spins Around","MCA Nashville",125,125,12,"2069154"
171,"spotify:track:1SjsVdSXpwm1kTdYEHoPIT","Zach Bryan","Sun to Me","Warner Records",106,143,6,"2063561"
172,"spotify:track:6DdPacpAdYkxV8MCzsjaXu","Luke Combs","Growin' Up and Gettin' Old","River House Artists/Columbia Nashville",86,86,3,"2058231"
173,"spotify:track:6IZvVAP7VPPnsGX6bvgkqg","Kendrick Lamar","PRIDE.","Aftermath",10,137,13,"2057870"
174,"spotify:track:65OVbaJR5O1RmwOQx0875b","Drake, Lil Baby","Wants and Needs (feat. Lil Baby)","OVO",2,146,99,"2057542"
175,"spotify:track:4lH6nENd1y81jp7Yt9lTBX","Future","Solo","Epic/Freebandz/A1",123,141,15,"2056752"
176,"spotify:track:1eUGmzzvahJjOSWgDHuRlv","Miguel","Girl With The Tattoo Enter.lewd","Jive",101,140,6,"2051689"
177,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",89,153,22,"2049660"
178,"spotify:track:01Lr5YepbgjXAWR9iOEyH1","Chief Keef","Love Sosa","UMGRI Interscope",44,164,54,"2048771"
179,"spotify:track:1brnLTvarI9D1hLP6z2Ar8","Kane Brown, Katelyn Brown","Thank God","RCA Records Label Nashville",55,179,7,"2048376"
180,"spotify:track:5FkoSXiJPKTNyYgALRJFhD","Baby Keem","ORANGE SODA","Baby Keem LLC",54,176,41,"2045169"
181,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",61,150,22,"2044526"
182,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",49,149,34,"2033255"
183,"spotify:track:4S4QJfBGGrC8jRIjJHf1Ka","PinkPantheress","Pain","Parlophone UK",48,-1,19,"2029781"
184,"spotify:track:0wXuerDYiBnERgIpbb3JBR","Childish Gambino","Redbone","Glassnote Entertainment Group LLC",9,147,156,"2022690"
185,"spotify:track:2JvzF1RMd7lE3KmFlsyZD8","J. Cole","MIDDLE CHILD","Dreamville, Inc., Under exclusive license to Roc Nation Records",1,166,169,"2020888"
186,"spotify:track:15JINEqzVMv3SvJTAXAKED","Eminem, Rihanna","Love The Way You Lie","Aftermath",186,-1,1,"2013590"
187,"spotify:track:2qOm7ukLyHUXWyR4ZWLwxA","Ice Cube","It Was A Good Day","Priority Records",100,167,38,"2012247"
188,"spotify:track:5UNMyX2AzF8X90wAYAxG6Q","Lainey Wilson","Heart Like A Truck","Broken Bow Records",148,173,4,"2011049"
